County,Harvested_Area,Year,Production_MT,Yield
Baringo,39753.0,2012,71867.0,1.81
Baringo,29117.0,2013,55805.0,1.92
Baringo,34960.0,2014,34959.0,1.0
Baringo,44159.0,2015,83313.0,1.89
Baringo,33163.0,2016,72495.0,2.19
Baringo,33308.0,2017,45764.0,1.37
Baringo,37658.0,2018,58475.6,1.55
Bomet,32697.0,2012,73278.0,2.24
Bomet,30620.0,2013,72236.0,2.36
Bomet,30940.0,2014,53162.0,1.72
Bomet,35727.0,2015,38720.0,1.08
Bomet,32275.0,2016,45517.0,1.41
Bomet,33792.0,2017,56601.0,1.67
Bomet,33291.0,2018,58336.81,1.75
Bungoma,96209.0,2012,262381.0,2.73
Bungoma,92705.0,2013,221586.0,2.39
Bungoma,98074.0,2014,267302.0,2.73
Bungoma,97397.0,2015,260266.0,2.67
Bungoma,100712.0,2016,301068.0,2.99
Bungoma,95323.0,2017,289290.0,3.03
Bungoma,93484.0,2018,295481.1,3.16
Busia,41990.0,2012,50102.0,1.19
Busia,45898.0,2013,63230.0,1.38
Busia,50400.0,2014,72662.0,1.44
Busia,50781.0,2015,86526.0,1.7
Busia,38441.0,2016,36631.0,0.95
Busia,31962.0,2017,51483.0,1.61
Busia,33122.0,2018,53629.0,1.62
Elgeyo Marakwet,31533.0,2012,91964.0,2.92
Elgeyo Marakwet,32015.0,2013,101336.0,3.17
Elgeyo Marakwet,27620.0,2014,103448.0,3.75
Elgeyo Marakwet,33598.0,2015,78020.0,2.32
Elgeyo Marakwet,33315.0,2016,75005.0,2.25
Elgeyo Marakwet,28373.0,2017,80823.0,2.85
Elgeyo Marakwet,30631.0,2018,92601.41,3.02
Embu,45215.0,2012,46750.0,1.03
Embu,26820.0,2013,35105.0,1.31
Embu,26720.0,2014,26611.0,1.0
Embu,38699.0,2015,49156.0,1.27
Embu,24686.0,2016,16104.0,0.65
Embu,45533.0,2017,28378.0,0.62
Embu,35812.0,2018,32113.19,0.9
Garissa,433.0,2012,411.0,0.95
Garissa,205.0,2013,199.0,0.97
Garissa,245.0,2014,199.0,0.81
Garissa,248.0,2015,216.0,0.87
Garissa,167.0,2016,152.0,0.91
Garissa,150.0,2017,142.0,0.95
Garissa,138.0,2018,119.0,0.86
Homabay,67420.0,2012,97513.0,1.45
Homabay,74359.0,2013,110380.0,1.48
Homabay,79667.0,2014,124465.0,1.56
Homabay,83900.0,2015,137958.0,1.64
Homabay,61940.0,2016,71446.0,1.15
Homabay,66115.0,2017,93405.0,1.41
Homabay,69055.0,2018,100741.38,1.46
Isiolo,987.0,2012,979.0,0.99
Isiolo,1015.0,2013,1073.0,1.06
Isiolo,1385.0,2014,657.0,0.47
Isiolo,1017.0,2015,1231.0,1.21
Isiolo,708.0,2016,475.0,0.67
Isiolo,568.0,2017,444.0,0.78
Isiolo,358.0,2018,287.5,0.8
Kajiado,30145.0,2012,2218.0,0.07
Kajiado,34721.0,2013,63460.0,1.83
Kajiado,31020.0,2014,73396.0,2.37
Kajiado,38055.0,2015,20004.0,0.53
